Identification,Condition,Healthy,Scab,Anthracnose
Avocado 0001,Scab,0,1,0
Avocado 0002,Scab,0,1,0
Avocado 0003,Healthy,1,0,0
Avocado 0004,Scab,0,1,0
Avocado 0005,Anthracnose,0,0,1
Avocado 0006,Anthracnose,0,0,1
Avocado 0007,Scab,0,1,0
Avocado 0008,Scab,0,1,0
Avocado 0009,Scab,0,1,0
Avocado 0010,Scab,0,1,0
Avocado 0011,Scab,0,1,0
Avocado 0012,Anthracnose,0,0,1
Avocado 0013,Anthracnose,0,0,1
Avocado 0014,Anthracnose,0,0,1
Avocado 0015,Anthracnose,0,0,1
Avocado 0016,Anthracnose,0,0,1
Avocado 0017,Anthracnose,0,0,1
Avocado 0018,Anthracnose,0,0,1
Avocado 0019,Scab,0,1,0
Avocado 0020,Scab,0,1,0
Avocado 0021,Scab,0,1,0
Avocado 0022,Scab,0,1,0
Avocado 0023,Scab,0,1,0
Avocado 0024,Scab,0,1,0
Avocado 0025,Scab,0,1,0
Avocado 0026,Scab,0,1,0
Avocado 0027,Scab,0,1,0
Avocado 0028,Scab,0,1,0
Avocado 0029,Scab,0,1,0
Avocado 0030,Scab,0,1,0
Avocado 0031,Scab,0,1,0
Avocado 0032,Scab,0,1,0
Avocado 0033,Scab,0,1,0
Avocado 0034,Scab,0,1,0
Avocado 0035,Scab,0,1,0
Avocado 0036,Anthracnose,0,0,1
Avocado 0037,Scab,0,1,0
Avocado 0038,Healthy,1,0,0
Avocado 0039,Scab,0,1,0
Avocado 0040,Scab,0,1,0
Avocado 0041,Scab,0,1,0
Avocado 0042,Anthracnose,0,0,1
Avocado 0043,Anthracnose,0,0,1
Avocado 0044,Anthracnose,0,0,1
Avocado 0045,Anthracnose,0,0,1
Avocado 0046,Anthracnose,0,0,1
Avocado 0047,Anthracnose,0,0,1
Avocado 0048,Anthracnose,0,0,1
Avocado 0049,Scab,0,1,0
Avocado 0050,Scab,0,1,0
Avocado 0051,Scab,0,1,0
Avocado 0052,Scab,0,1,0
Avocado 0053,Scab,0,1,0
Avocado 0054,Scab,0,1,0
Avocado 0055,Scab,0,1,0
Avocado 0056,Scab,0,1,0
Avocado 0057,Scab,0,1,0
Avocado 0058,Scab,0,1,0
Avocado 0059,Scab,0,1,0
Avocado 0060,Anthracnose,0,0,1
Avocado 0061,Anthracnose,0,0,1
Avocado 0062,Scab,0,1,0
Avocado 0063,Scab,0,1,0
Avocado 0064,Scab,0,1,0
Avocado 0065,Scab,0,1,0
Avocado 0066,Anthracnose,0,0,1
Avocado 0067,Scab,0,1,0
Avocado 0068,Healthy,1,0,0
Avocado 0069,Scab,0,1,0
Avocado 0070,Healthy,1,0,0
Avocado 0071,Scab,0,1,0
Avocado 0072,Anthracnose,0,0,1
Avocado 0073,Anthracnose,0,0,1
Avocado 0074,Scab,0,1,0
